stock_id,event_date,prev_close,open,close,chg%,ratio,原始比值,還原後漲跌%,方向,同檔命中數,判定
2236,2015-06-09,27.3689,26.9657,22.6814,-17.1,1.1765,1.206667,-2.5,往下跳（分割／面額變更）,1,幅度不足以確認
6510,2015-06-15,176.8675,172.5936,196.9953,11.4,0.900009,0.897826,0.2,往上跳（減資／反向分割）,3,幅度不足以確認
1456,2015-06-16,13.8442,12.2508,12.2508,-11.5,1.1111,1.130068,-1.7,往下跳（分割／面額變更）,2,幅度不足以確認
2739,2015-06-17,65.6896,65.5916,74.4465,13.3,0.900009,0.882374,2.0,往上跳（減資／反向分割）,2,幅度不足以確認
4554,2015-06-29,71.1805,71.1204,61.321,-13.9,1.1765,1.160784,1.4,往下跳（分割／面額變更）,3,幅度不足以確認
6240,2015-06-29,18.4,22.8,22.8,23.9,0.8,0.807018,-0.9,往上跳（減資／反向分割）,3,建議修正
9106,2015-07-09,4.86,3.95,4.2,-13.6,1.1765,1.157143,1.7,往下跳（分割／面額變更）,3,幅度不足以確認
6240,2015-07-13,18.5,24.55,24.55,32.7,0.750019,0.753564,-0.5,往上跳（減資／反向分割）,3,建議修正
6465,2015-07-13,59.2423,58.2271,51.2516,-13.5,1.1765,1.155911,1.8,往下跳（分割／面額變更）,2,幅度不足以確認
8463,2015-07-13,33.4082,29.0569,27.5678,-17.5,1.1765,1.211858,-2.9,往下跳（分割／面額變更）,1,幅度不足以確認
4968,2015-07-17,31.8039,31.8721,37.0101,16.4,0.849979,0.859331,-1.1,往上跳（減資／反向分割）,1,幅度不足以確認
6486,2015-07-28,21.7841,22.2358,18.7481,-13.9,1.1765,1.16194,1.3,往下跳（分割／面額變更）,1,幅度不足以確認
7402,2015-07-30,48.7321,47.176,43.1888,-11.4,1.1111,1.12835,-1.5,往下跳（分割／面額變更）,3,幅度不足以確認
8462,2015-07-31,35.4683,34.6857,29.4965,-16.8,1.1765,1.202457,-2.2,往下跳（分割／面額變更）,1,幅度不足以確認
4147,2015-08-10,101.5122,101.6497,112.9572,11.3,0.900009,0.898678,0.1,往上跳（減資／反向分割）,3,幅度不足以確認
4551,2015-08-10,54.2557,45.0315,44.1599,-18.6,1.25,1.228618,1.7,往下跳（分割／面額變更）,1,幅度不足以確認
4545,2015-08-12,61.4035,61.7907,54.2121,-11.7,1.1111,1.132653,-1.9,往下跳（分割／面額變更）,2,幅度不足以確認
5301,2015-08-12,130.1138,130.5484,145.1826,11.6,0.900009,0.896208,0.4,往上跳（減資／反向分割）,2,幅度不足以確認
8077,2015-08-14,228.4787,253.6114,253.6114,11.0,0.900009,0.900901,-0.1,往上跳（減資／反向分割）,3,幅度不足以確認
8087,2015-08-17,7.0286,7.2985,7.8295,11.4,0.900009,0.897701,0.3,往上跳（減資／反向分割）,1,幅度不足以確認
2740,2015-08-20,407.9092,406.7035,334.8673,-17.9,1.25,1.218122,2.6,往下跳（分割／面額變更）,8,同檔命中過多
2740,2015-08-21,334.8673,333.0588,276.2931,-17.5,1.1765,1.212,-2.9,往下跳（分割／面額變更）,8,同檔命中過多
6469,2015-08-21,14.4673,14.8099,12.2738,-15.2,1.1765,1.178714,-0.2,往下跳（分割／面額變更）,1,幅度不足以確認
6477,2015-08-21,17.8522,17.1847,15.6013,-12.6,1.1765,1.144279,2.8,往下跳（分割／面額變更）,2,幅度不足以確認
2424,2015-08-24,52.5776,46.4949,46.4949,-11.6,1.1111,1.130824,-1.7,往下跳（分割／面額變更）,1,幅度不足以確認
4754,2015-08-24,10.3978,10.3934,9.216,-11.4,1.1111,1.128234,-1.5,往下跳（分割／面額變更）,5,幅度不足以確認
6510,2015-08-24,158.4442,161.1079,138.7532,-12.4,1.1111,1.141914,-2.7,往下跳（分割／面額變更）,3,幅度不足以確認
6526,2015-08-24,135.1065,136.1531,117.5129,-13.0,1.1765,1.149717,2.3,往下跳（分割／面額變更）,7,同檔命中過多
4554,2015-08-25,26.4823,26.2598,29.7407,12.3,0.900009,0.890439,1.1,往上跳（減資／反向分割）,3,幅度不足以確認
2718,2015-08-26,23.8154,20.8306,21.1134,-11.3,1.1111,1.127976,-1.5,往下跳（分割／面額變更）,5,幅度不足以確認
3321,2015-08-27,81.8238,82.9312,93.3284,14.1,0.900009,0.87673,2.7,往上跳（減資／反向分割）,2,幅度不足以確認
4961,2015-08-27,33.0037,32.8203,39.1399,18.6,0.849979,0.843224,0.8,往上跳（減資／反向分割）,4,幅度不足以確認
8472,2015-08-27,62.211,61.0244,71.6867,15.2,0.849979,0.867818,-2.1,往上跳（減資／反向分割）,2,幅度不足以確認
2429,2015-08-28,21.4445,20.3504,18.8916,-11.9,1.1111,1.135134,-2.1,往下跳（分割／面額變更）,4,幅度不足以確認
2743,2015-08-28,27.0548,26.1893,22.5274,-16.7,1.1765,1.200975,-2.0,往下跳（分割／面額變更）,9,同檔命中過多
4961,2015-08-28,39.1399,35.4851,43.8949,12.1,0.900009,0.891673,0.9,往上跳（減資／反向分割）,4,幅度不足以確認
4754,2015-08-31,9.9083,9.8334,11.0239,11.3,0.900009,0.898802,0.1,往上跳（減資／反向分割）,5,幅度不足以確認
6477,2015-09-01,15.1356,15.1666,17.2312,13.8,0.900009,0.878378,2.5,往上跳（減資／反向分割）,2,幅度不足以確認
6531,2015-09-01,47.9383,47.7138,21.8839,-54.3,2.2222,2.190576,1.4,往下跳（分割／面額變更）,3,建議修正
6499,2015-09-08,96.8125,96.134,109.6216,13.2,0.900009,0.883152,1.9,往上跳（減資／反向分割）,4,幅度不足以確認
3073,2015-09-16,15.2656,13.257,12.8821,-15.6,1.1765,1.185024,-0.7,往下跳（分割／面額變更）,1,幅度不足以確認
6485,2015-09-18,23.7226,22.9456,27.0006,13.8,0.900009,0.878597,2.4,往上跳（減資／反向分割）,2,幅度不足以確認
6546,2015-09-18,64.8544,64.6605,72.5452,11.9,0.900009,0.893986,0.7,往上跳（減資／反向分割）,2,幅度不足以確認
2496,2015-09-23,20.5643,18.1188,18.1188,-11.9,1.1111,1.134969,-2.1,往下跳（分割／面額變更）,1,幅度不足以確認
8934,2015-09-23,63.4633,56.0581,56.0581,-11.7,1.1111,1.132099,-1.9,往下跳（分割／面額變更）,3,幅度不足以確認
6443,2015-10-01,20.5096,18.4912,17.9052,-12.7,1.1765,1.145454,2.7,往下跳（分割／面額變更）,1,幅度不足以確認
