日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,報酬20D,基準20D,報酬60D,基準60D,月
2026-01-02,8110,華東,電子工業,進榜,觸發,60.49,100.0,1.0,0,27.3,0.0,-20.9,-0.9,2026-01
2026-01-02,8110,華東,電子工業,觸發,進榜即觸發,60.49,100.0,1.0,0,27.3,0.0,-20.9,-0.9,2026-01
2026-01-02,5289,宜鼎,電腦及週邊設備業,進榜,觸發,576.83,96.0,2.0,0,33.4,0.0,94.1,-0.9,2026-01
2026-01-02,5289,宜鼎,電腦及週邊設備業,觸發,進榜即觸發,576.83,96.0,2.0,0,33.4,0.0,94.1,-0.9,2026-01
2026-01-02,3006,晶豪科,電子工業,進榜,觸發,128.89,95.0,1.0,0,50.6,0.0,20.5,-0.9,2026-01
2026-01-02,3006,晶豪科,電子工業,觸發,進榜即觸發,128.89,95.0,1.0,0,50.6,0.0,20.5,-0.9,2026-01
2026-01-02,7728,光焱科技,其他電子業,進榜,觸發,596.7,93.0,3.0,0,11.2,0.0,41.2,-0.9,2026-01
2026-01-02,7728,光焱科技,其他電子業,觸發,進榜即觸發,596.7,93.0,3.0,0,11.2,0.0,41.2,-0.9,2026-01
2026-01-02,2337,旺宏,半導體業,進榜,觸發,43.35,92.0,2.0,0,114.1,0.0,236.8,-0.9,2026-01
2026-01-02,2337,旺宏,半導體業,觸發,進榜即觸發,43.35,92.0,2.0,0,114.1,0.0,236.8,-0.9,2026-01
2026-01-02,3624,光頡,電子零組件業,進榜,觸發,63.67,92.0,2.0,0,-11.1,0.0,-22.8,-0.9,2026-01
2026-01-02,3624,光頡,電子零組件業,觸發,進榜即觸發,63.67,92.0,2.0,0,-11.1,0.0,-22.8,-0.9,2026-01
2026-01-02,5351,鈺創,半導體業,進榜,觸發,55.8,90.0,1.0,0,9.7,0.0,26.7,-0.9,2026-01
2026-01-02,5351,鈺創,半導體業,觸發,進榜即觸發,55.8,90.0,1.0,0,9.7,0.0,26.7,-0.9,2026-01
2026-01-02,2472,立隆電,電子工業,進榜,觸發,115.74,79.0,4.0,0,-8.1,0.0,26.0,-0.9,2026-01
2026-01-02,2472,立隆電,電子工業,觸發,進榜即觸發,115.74,79.0,4.0,0,-8.1,0.0,26.0,-0.9,2026-01
2026-01-02,3048,益登,電子通路業,進榜,觸發,44.99,79.0,1.0,0,-13.5,0.0,-17.1,-0.9,2026-01
2026-01-02,3048,益登,電子通路業,觸發,進榜即觸發,44.99,79.0,1.0,0,-13.5,0.0,-17.1,-0.9,2026-01
2026-01-02,2330,台積電,半導體業,進榜,觸發,1575.64,72.0,2.0,0,12.0,0.0,26.6,-0.9,2026-01
2026-01-02,2330,台積電,半導體業,觸發,進榜即觸發,1575.64,72.0,2.0,0,12.0,0.0,26.6,-0.9,2026-01
2026-01-02,2344,華邦電,半導體業,進榜,準備,90.33,100.0,2.0,0,41.5,0.0,3.5,-0.9,2026-01
2026-01-02,2408,南亞科,半導體業,進榜,準備,206.34,100.0,2.0,0,57.7,0.0,3.9,-0.9,2026-01
2026-01-02,5498,凱崴,電子零組件業,進榜,準備,53.0,100.0,2.0,0,12.8,0.0,23.8,-0.9,2026-01
