,進榜,觸發,移出,觸發率,報酬60D中位
半導體業,236,158,232,67.0,16.8
電子工業,206,146,199,71.0,13.7
電子零組件業,162,99,159,61.0,2.8
光電業,82,61,74,74.0,-1.5
通信網路業,66,53,63,80.0,25.6
其他電子業,51,25,50,49.0,12.9
化學工業,37,27,36,73.0,18.6
電機機械,36,21,35,58.0,9.4
其他電子類,36,23,34,64.0,-4.4
金融保險,32,10,24,31.0,3.7
電腦及週邊設備業,27,17,24,63.0,0.5
塑膠工業,19,12,17,63.0,-15.9
生技醫療業,17,8,13,47.0,-24.0
電子通路業,12,10,12,83.0,-3.6
綠能環保,10,8,10,80.0,196.6
其他,8,5,8,62.0,-2.6
金融業,8,5,8,62.0,11.5
航運業,8,2,8,25.0,-18.7
化學生技醫療,6,2,6,33.0,-4.0
玻璃陶瓷,6,6,6,100.0,4.8
創新版股票,5,5,4,100.0,49.8
電器電纜,4,3,4,75.0,-15.4
鋼鐵工業,4,1,4,25.0,-24.4
資訊服務業,3,0,2,0.0,
汽車工業,3,2,3,67.0,-19.6
油電燃氣業,3,2,3,67.0,-15.7
紡織纖維,2,1,2,50.0,-16.8
造紙工業,2,1,1,50.0,
橡膠工業,1,0,0,0.0,
存託憑證,1,1,1,100.0,-27.7
數位雲端,1,0,1,0.0,-14.6
建材營造,1,1,1,100.0,-23.1
綠能環保類,1,1,1,100.0,0.7
貿易百貨,1,1,1,100.0,
