代號,名稱,產業,進榜日,進榜狀態,進榜價,進榜樞紐,進榜底部序,進榜RS,進榜VCP,停損價,目前狀態,最新價,最新RS,在榜天數,觸發日,觸發時在榜天數,觸發註記,移出日,移出原因
2883,凱基金,金融保險,2026-09-02,準備,35.5,35.6,2,88.0,True,32.75,準備,36.95,87.0,5,,,,,
6214,精誠,資訊服務業,2026-09-02,準備,183.0,184.0,2,85.0,True,169.28,準備,185.0,85.0,5,,,,,
2885,元大金,金融保險,2026-09-02,準備,66.7,67.79,3,76.0,False,62.37,準備,70.2,79.0,5,,,,,
2890,永豐金,金融保險,2026-09-02,準備,42.15,42.3,2,74.0,True,38.92,準備,42.6,76.0,5,,,,,
2801,彰銀,金融保險,2026-09-05,準備,26.6,26.9,0,73.0,False,24.75,準備,26.5,72.0,2,,,,,
3023,信邦,電子零組件業,2026-09-05,準備,340.0,341.5,2,70.0,True,314.18,準備,339.5,72.0,2,,,,,
7711,永擎,電腦及週邊設備業,2026-09-05,觸發,632.0,632.0,2,98.0,False,581.44,準備,660.0,98.0,2,2026-09-05,0.0,,,
2882,國泰金,金融保險,2026-09-05,觸發,115.0,115.0,3,79.0,True,105.8,準備,114.5,79.0,2,2026-09-05,0.0,,,
2884,玉山金,金融保險,2026-09-05,觸發,43.55,43.55,3,73.0,False,40.07,準備,43.55,72.0,2,2026-09-05,0.0,,,
6829,千附精密,電機機械,2026-09-07,準備,258.0,265.0,3,92.0,False,243.8,準備,258.0,92.0,0,,,,,
2855,統一證,金融保險,2026-09-07,準備,52.0,52.3,2,81.0,True,48.12,準備,52.0,81.0,0,,,,,
3693,營邦,電腦及週邊設備業,2026-09-07,準備,682.0,700.0,3,78.0,False,644.0,準備,682.0,78.0,0,,,,,
2880,華南金,金融保險,2026-09-07,準備,44.35,44.7,2,71.0,False,41.12,準備,44.35,71.0,0,,,,,
3441,聯一光,光電業,2026-09-02,準備,139.5,140.5,3,99.0,False,129.26,觀察,131.0,99.0,5,,,,,
6538,倉和,電子零組件業,2026-09-02,準備,248.5,248.5,2,99.0,False,228.62,觀察,305.0,100.0,5,,,,,
3362,先進光,光電業,2026-09-02,準備,210.0,214.5,1,92.0,False,197.34,觀察,190.0,87.0,5,,,,,
2881,富邦金,金融保險,2026-09-02,準備,143.5,145.0,3,83.0,True,133.4,觀察,149.5,84.0,5,,,,,
1563,巧新,電機機械,2026-09-02,準備,66.0,67.3,3,72.0,False,61.92,觀察,79.5,87.0,5,,,,,
2887,台新新光金,金融保險,2026-09-02,觸發,41.2,41.2,2,88.0,False,37.9,觀察,41.1,86.0,5,2026-09-02,,,,
2465,麗臺,電腦及週邊設備業,2026-09-02,準備,105.0,106.5,3,90.0,False,97.98,觀察,102.5,88.0,5,,,,,
6933,AMAX-KY,電子工業,2026-09-02,觸發,331.0,331.0,2,96.0,False,304.52,觀察,313.0,96.0,5,2026-09-02,,,,
3141,晶宏,半導體業,2026-09-02,觸發,99.5,99.5,3,90.0,False,91.54,觀察,102.0,92.0,5,2026-09-02,,,,
2395,研華,電子工業,2026-09-05,準備,711.0,727.0,2,91.0,False,668.84,觀察,680.0,87.0,2,,,,,
3094,聯傑,半導體業,2026-09-05,觸發,46.5,46.5,3,90.0,False,42.78,觀察,44.8,89.0,2,2026-09-05,0.0,,,
5274,信驊,半導體業,2026-09-07,觸發,19215.0,19215.0,5,90.0,False,17677.8,觸發,19215.0,90.0,0,2026-09-07,0.0,,,
6426,統新,通信網路業,2026-09-07,觸發,296.0,296.0,4,89.0,False,272.32,觸發,296.0,89.0,0,2026-09-07,0.0,,,
