,進榜,觸發,移出,觸發率,報酬60D中位
電子工業,134,30,127,22.0,1.0
半導體業,68,19,61,28.0,4.2
電子零組件業,49,16,44,33.0,-2.8
光電業,32,7,28,22.0,5.5
其他電子業,24,4,23,17.0,-3.7
電腦及週邊設備業,22,7,21,32.0,3.2
建材營造,20,0,19,0.0,-4.7
電機機械,20,5,19,25.0,1.0
其他,19,5,19,26.0,3.2
通信網路業,19,6,18,32.0,-3.9
汽車工業,18,7,16,39.0,5.3
生技醫療業,14,5,14,36.0,-9.7
塑膠工業,13,1,10,8.0,4.9
金融保險,11,2,6,18.0,13.7
食品工業,10,3,10,30.0,-3.2
鋼鐵工業,8,4,5,50.0,12.9
觀光事業,8,2,8,25.0,-2.6
化學工業,8,2,6,25.0,-5.9
貿易百貨,7,0,7,0.0,2.2
其他電子類,7,6,6,86.0,2.6
水泥工業,6,1,6,17.0,-4.7
橡膠工業,6,2,5,33.0,3.1
化學生技醫療,5,1,5,20.0,-15.5
油電燃氣業,4,0,3,0.0,
文化創意業,4,3,4,75.0,-15.5
電器電纜,4,2,4,50.0,12.8
航運業,4,1,4,25.0,5.4
紡織纖維,3,0,3,0.0,-9.6
造紙工業,3,1,3,33.0,11.3
電子商務業,2,0,2,0.0,-28.4
資訊服務業,1,1,1,100.0,
