日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,報酬20D,基準20D,報酬60D,基準60D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,月
2017-01-03,8183,精星,其他電子類,進榜,觸發,11.88,96.0,1.0,0,56.3,3.0,38.0,5.8,11.9,0.0,56.3,2.9,38.0,5.7,2017-01
2017-01-03,8183,精星,其他電子類,觸發,進榜即觸發,11.88,96.0,1.0,0,56.3,3.0,38.0,5.8,11.9,0.0,56.3,2.9,38.0,5.7,2017-01
2017-01-03,3005,神基,電子工業,進榜,準備,21.68,94.0,2.0,0,17.5,3.0,6.3,5.8,21.8,0.4,17.0,2.9,5.9,5.7,2017-01
2017-01-03,5269,祥碩,半導體業,進榜,準備,219.44,93.0,2.0,0,15.5,3.0,18.9,5.8,221.4,0.9,14.4,2.9,17.8,5.7,2017-01
2017-01-03,3152,璟德,通信網路業,進榜,準備,309.34,88.0,2.0,0,14.1,3.0,27.0,5.8,315.0,1.8,12.1,2.9,24.8,5.7,2017-01
2017-01-03,1710,東聯,化學工業,進榜,準備,19.61,82.0,2.0,0,17.4,3.0,0.0,5.8,19.7,0.4,16.9,2.9,-0.4,5.7,2017-01
2017-01-03,1326,台化,塑膠工業,進榜,準備,65.81,77.0,2.0,0,0.1,3.0,-2.6,5.8,65.8,0.0,0.1,2.9,-2.6,5.7,2017-01
2017-01-03,3545,敦泰,電子工業,進榜,準備,33.42,77.0,1.0,0,1.4,3.0,14.2,5.8,33.6,0.4,1.0,2.9,13.8,5.7,2017-01
2017-01-03,1301,台塑,塑膠工業,進榜,準備,60.61,74.0,1.0,0,0.1,3.0,3.0,5.8,60.6,0.0,0.1,2.9,3.0,5.7,2017-01
2017-01-03,6412,群電,電子工業,移出,掉出掃描母體,29.42,89.0,,4,,,,,,,,,,,2017-01
2017-01-04,5009,榮剛,鋼鐵工業,進榜,觸發,13.41,74.0,1.0,0,16.5,3.0,4.6,4.8,13.4,-0.3,16.8,2.8,4.9,4.6,2017-01
2017-01-04,5009,榮剛,鋼鐵工業,觸發,進榜即觸發,13.41,74.0,1.0,0,16.5,3.0,4.6,4.8,13.4,-0.3,16.8,2.8,4.9,4.6,2017-01
2017-01-04,2467,志聖,電子工業,進榜,準備,12.86,90.0,2.0,0,-9.8,3.0,-8.9,4.8,13.0,1.4,-11.0,2.8,-10.1,4.6,2017-01
