掛單價,監控日,候選,成交,成交率%,折價%,等待日,報酬60D,超額,勝率%,期望值
◆T+1開盤,0,295,295,100.0,1.2,1,1.4,0.1,50.2,0.06
樞紐+1.0%,5,384,200,52.1,0.89,1,0.6,-0.3,49.5,-0.16
樞紐+1.0%,10,384,212,55.2,0.67,1,0.5,-0.3,49.5,-0.17
樞紐+1.0%,20,384,226,58.9,0.53,1,0.1,-0.6,49.1,-0.34
樞紐+0.5%,5,384,192,50.0,0.5,1,0.5,-0.4,48.4,-0.21
樞紐+0.5%,10,384,201,52.3,0.5,1,1.2,-0.3,49.3,-0.17
樞紐+0.5%,20,384,220,57.3,0.5,1,0.5,-0.4,48.6,-0.24
樞紐±0%,5,384,185,48.2,0.0,1,0.6,-0.6,48.6,-0.27
樞紐±0%,10,384,197,51.3,0.0,1,0.7,-0.5,49.2,-0.27
樞紐±0%,20,384,213,55.5,0.0,1,0.5,-0.6,48.4,-0.33
樞紐-1.0%,5,384,168,43.8,-1.0,1,0.1,0.3,50.6,0.14
樞紐-1.0%,10,384,182,47.4,-1.0,1,0.9,0.5,52.2,0.25
樞紐-1.0%,20,384,200,52.1,-1.0,1,0.3,0.4,51.0,0.21
樞紐-2.0%,5,384,145,37.8,-2.0,1,0.7,0.7,51.0,0.26
樞紐-2.0%,10,384,165,43.0,-2.0,2,0.7,0.4,50.3,0.19
樞紐-2.0%,20,384,187,48.7,-2.0,2,0.7,0.7,50.8,0.33
