代號,名稱,產業,進榜次數,首次進榜,報酬60D,觸發次數
3044,健鼎,電子工業,14,2017-01-04,9.9,2
3035,智原,半導體業,8,2017-06-16,13.45,1
3491,昇達科,通信網路業,8,2017-02-06,1.5,0
2327,國巨*,電子工業,7,2017-03-01,27.5,3
2104,國際中橡,橡膠工業,7,2017-02-02,27.0,2
5483,中美晶,半導體業,7,2017-02-08,23.3,2
3152,璟德,通信網路業,7,2017-01-03,17.6,4
2049,上銀,電機機械,7,2017-02-17,13.85,1
6269,台郡,電子工業,7,2017-03-20,9.2,2
3443,創意,半導體業,6,2017-02-20,58.7,3
6182,合晶,半導體業,6,2017-02-02,35.4,3
8436,大江,生技醫療業,6,2017-07-17,33.45,1
5289,宜鼎,電腦及週邊設備業,6,2017-08-25,19.6,1
3406,玉晶光,光電業,6,2017-01-13,17.45,5
2352,佳世達,電腦及週邊設備業,6,2017-01-13,16.55,1
3008,大立光,光電業,6,2017-03-16,1.95,2
2534,宏盛,建材營造,6,2017-08-28,1.7000000000000002,2
8039,台虹,電子工業,6,2017-02-03,0.85,1
1312,國喬,塑膠工業,6,2017-02-02,-2.6000000000000005,3
8112,至上,電子工業,6,2017-03-06,-2.7,1
3037,欣興,電子工業,6,2017-04-28,-2.8,1
8341,日友,其他,5,2017-07-05,28.1,2
2313,華通,電子工業,5,2017-02-23,20.65,2
3003,健和興,電子工業,5,2017-02-13,18.3,3
2401,凌陽,半導體業,5,2017-06-06,17.0,1
6213,聯茂,電子工業,5,2017-01-09,15.9,0
4528,江興鍛,電機機械,5,2017-05-12,14.350000000000001,0
1229,聯華,食品工業,5,2017-04-06,9.8,1
2383,台光電,電子工業,5,2017-01-23,8.1,2
6176,瑞儀,光電業,5,2017-05-05,7.9,1
4919,新唐,半導體業,5,2017-01-11,6.25,3
2441,超豐,半導體業,5,2017-06-19,5.9,0
2303,聯電,半導體業,5,2017-07-13,5.7,0
2548,華固,建材營造,5,2017-02-06,1.3,0
3231,緯創,電子工業,5,2017-01-11,-2.9,1
2467,志聖,電子工業,5,2017-01-04,-11.25,2
3019,亞光,光電業,4,2017-01-06,83.25,3
6426,統新,通信網路業,4,2017-01-13,55.15,3
3504,揚明光,光電業,4,2017-07-26,49.7,1
8069,元太,光電業,4,2017-04-12,32.1,3
2481,強茂,半導體業,4,2017-08-15,31.4,3
3665,貿聯-KY,其他電子業,4,2017-07-27,30.549999999999997,2
6180,橘子,文化創意業,4,2017-06-06,29.6,2
2439,美律,通信網路業,4,2017-01-18,27.1,2
5536,聖暉*,其他電子類,4,2017-05-04,25.5,1
4915,致伸,電子零組件業,4,2017-05-31,24.3,1
6525,捷敏-KY,半導體業,4,2017-08-07,23.0,1
6488,環球晶,半導體業,4,2017-06-03,22.8,1
2408,南亞科,半導體業,4,2017-05-15,21.3,0
1902,台紙,造紙工業,4,2017-03-13,19.3,0
3413,京鼎,半導體業,4,2017-03-23,18.3,4
8091,翔名,電子零組件業,4,2017-08-04,15.6,0
3374,精材,半導體業,4,2017-01-05,14.95,4
6438,迅得,其他電子類,4,2017-05-11,14.55,0
2317,鴻海,其他電子業,4,2017-04-14,14.25,0
6435,大中,半導體業,4,2017-03-30,12.5,4
6188,廣明,電腦及週邊設備業,4,2017-02-08,10.95,3
2345,智邦,通信網路業,4,2017-04-07,9.9,2
4974,亞泰,電子零組件業,4,2017-02-18,9.8,2
3236,千如,電子零組件業,4,2017-04-19,9.55,2
1313,聯成,塑膠工業,4,2017-01-24,6.3999999999999995,0
2369,菱生,電子工業,4,2017-02-13,4.05,2
