日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,樞紐,報酬20D,基準20D,報酬60D,基準60D,報酬120D,基準120D,報酬180D,基準180D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,報酬120D開,基準120D開,報酬180D開,基準180D開,月
2021-01-04,2201,裕隆,汽車工業,進榜,觸發,42.69,78.0,2.0,0,,-20.5,-5.4,-9.0,9.1,-16.3,7.8,-18.9,4.5,42.3,-1.0,-19.7,-5.5,-8.1,9.3,-15.5,7.9,-18.1,4.5,2021-01
2021-01-04,2201,裕隆,汽車工業,觸發,進榜即觸發,42.69,78.0,2.0,0,42.69,-20.5,-5.4,-9.0,9.1,-16.3,7.8,-18.9,4.5,42.3,-1.0,-19.7,-5.5,-8.1,9.3,-15.5,7.9,-18.1,4.5,2021-01
2021-01-04,6279,胡連,電子零組件業,進榜,觸發,93.46,78.0,2.0,0,,-7.5,-5.4,-3.3,9.1,20.0,7.8,-3.9,4.5,91.9,-1.7,-5.9,-5.5,-1.7,9.3,22.0,7.9,-2.3,4.5,2021-01
2021-01-04,6279,胡連,電子零組件業,觸發,進榜即觸發,93.46,78.0,2.0,0,93.46,-7.5,-5.4,-3.3,9.1,20.0,7.8,-3.9,4.5,91.9,-1.7,-5.9,-5.5,-1.7,9.3,22.0,7.9,-2.3,4.5,2021-01
2021-01-04,8011,台通,通信網路業,進榜,觸發,23.99,77.0,5.0,0,,-26.7,-5.4,-16.7,9.1,-35.0,7.8,-37.6,4.5,24.3,1.1,-27.5,-5.5,-17.6,9.3,-35.7,7.9,-38.3,4.5,2021-01
2021-01-04,8011,台通,通信網路業,觸發,進榜即觸發,23.99,77.0,5.0,0,23.99,-26.7,-5.4,-16.7,9.1,-35.0,7.8,-37.6,4.5,24.3,1.1,-27.5,-5.5,-17.6,9.3,-35.7,7.9,-38.3,4.5,2021-01
2021-01-04,6205,詮欣,電子工業,進榜,觸發,43.01,76.0,4.0,0,,-25.2,-5.4,-18.0,9.1,-39.8,7.8,-39.1,4.5,45.0,4.6,-28.5,-5.5,-21.5,9.3,-42.5,7.9,-41.8,4.5,2021-01
2021-01-04,6205,詮欣,電子工業,觸發,進榜即觸發,43.01,76.0,4.0,0,43.01,-25.2,-5.4,-18.0,9.1,-39.8,7.8,-39.1,4.5,45.0,4.6,-28.5,-5.5,-21.5,9.3,-42.5,7.9,-41.8,4.5,2021-01
2021-01-04,2393,億光,電子工業,進榜,觸發,32.05,70.0,2.0,0,,-7.7,-5.4,8.6,9.1,13.4,7.8,4.6,4.5,32.6,1.7,-9.2,-5.5,6.8,9.3,11.4,7.9,2.8,4.5,2021-01
2021-01-04,2393,億光,電子工業,觸發,進榜即觸發,32.05,70.0,2.0,0,32.05,-7.7,-5.4,8.6,9.1,13.4,7.8,4.6,4.5,32.6,1.7,-9.2,-5.5,6.8,9.3,11.4,7.9,2.8,4.5,2021-01
2021-01-04,5386,青雲,電腦及週邊設備業,進榜,準備,38.74,99.0,3.0,0,,-38.1,-5.4,-15.3,9.1,-45.1,7.8,-57.0,4.5,37.7,-2.6,-36.5,-5.5,-13.0,9.3,-43.6,7.9,-55.9,4.5,2021-01
2021-01-04,3484,崧騰,電子零組件業,進榜,準備,48.47,95.0,3.0,0,,4.8,-5.4,33.8,9.1,30.0,7.8,5.9,4.5,48.5,0.0,4.8,-5.5,33.8,9.3,30.0,7.9,5.9,4.5,2021-01
2021-01-04,3605,宏致,電子工業,進榜,準備,40.67,83.0,3.0,0,,-13.8,-5.4,6.0,9.1,12.8,7.8,-6.8,4.5,41.0,0.8,-14.4,-5.5,5.2,9.3,12.0,7.9,-7.5,4.5,2021-01
2021-01-04,2408,南亞科,半導體業,進榜,準備,80.59,82.0,3.0,0,,-4.9,-5.4,9.3,9.1,-12.3,7.8,-27.9,4.5,80.2,-0.6,-4.3,-5.5,9.9,9.3,-11.9,7.9,-27.5,4.5,2021-01
2021-01-04,3707,漢磊,半導體業,進榜,準備,41.68,81.0,3.0,0,,7.6,-5.4,59.6,9.1,98.8,7.8,164.2,4.5,40.6,-2.6,10.5,-5.5,63.9,9.3,104.1,7.9,171.2,4.5,2021-01
2021-01-04,8936,國統,其他,進榜,準備,21.54,74.0,2.0,0,,-11.0,-5.4,62.0,9.1,5.5,7.8,-9.2,4.5,21.8,1.2,-12.1,-5.5,60.0,9.3,4.2,7.9,-10.3,4.5,2021-01
