日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,樞紐,報酬20D,基準20D,報酬60D,基準60D,報酬120D,基準120D,報酬180D,基準180D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,報酬120D開,基準120D開,報酬180D開,基準180D開,月,來源
2016-06-04,9911,櫻花,其他,進榜,觸發,17.45,94.0,1.0,0,,7.2,1.0,32.4,4.4,17.3,1.9,,,17.2,-1.7,9.0,0.9,34.6,4.1,19.3,1.6,,,2016-06,2016
2016-06-04,3702,大聯大,電子工業,進榜,準備,21.34,70.0,1.0,0,,0.9,1.0,8.3,4.4,11.3,1.9,,,21.3,0.0,0.9,0.9,8.3,4.1,11.3,1.6,,,2016-06,2016
2016-06-04,2912,統一超,貿易百貨,進榜,準備,166.91,72.0,1.0,0,,0.6,1.0,4.1,4.4,-1.1,1.9,,,167.2,0.2,0.4,0.9,3.9,4.1,-1.3,1.6,,,2016-06,2016
2016-06-04,3231,緯創,電子工業,進榜,準備,11.15,74.0,2.0,0,,9.1,1.0,21.5,4.4,18.6,1.9,,,11.1,0.0,9.1,0.9,21.5,4.1,18.6,1.6,,,2016-06,2016
2016-06-04,2634,漢翔,航運業,進榜,準備,33.48,75.0,1.0,0,,-5.0,1.0,-0.3,4.4,-9.2,1.9,,,33.5,0.0,-5.0,0.9,-0.3,4.1,-9.2,1.6,,,2016-06,2016
2016-06-04,2301,光寶科,電腦及週邊設備業,進榜,準備,22.38,77.0,1.0,0,,10.7,1.0,21.0,4.4,24.3,1.9,,,22.5,0.5,10.1,0.9,20.5,4.1,23.7,1.6,,,2016-06,2016
2016-06-04,8437,大地-KY,其他,進榜,準備,92.71,79.0,2.0,0,,8.4,1.0,12.8,4.4,11.0,1.9,,,92.7,0.0,8.4,0.9,12.8,4.1,11.0,1.6,,,2016-06,2016
2016-06-04,5347,世界,半導體業,進榜,準備,32.76,80.0,3.0,0,,3.9,1.0,15.9,4.4,15.3,1.9,,,32.9,0.6,3.3,0.9,15.3,4.1,14.7,1.6,,,2016-06,2016
2016-06-04,2360,致茂,其他電子業,進榜,準備,58.43,81.0,2.0,0,,0.3,1.0,8.4,4.4,2.3,1.9,,,59.0,1.0,-0.8,0.9,7.3,4.1,1.3,1.6,,,2016-06,2016
2016-06-04,1563,巧新,電機機械,進榜,準備,142.4,82.0,1.0,0,,10.8,1.0,30.4,4.4,16.2,1.9,,,143.7,0.9,9.8,0.9,29.2,4.1,15.2,1.6,,,2016-06,2016
2016-06-04,2489,瑞軒,光電業,進榜,準備,15.17,83.0,1.0,0,,8.8,1.0,29.5,4.4,19.4,1.9,,,15.1,-0.5,9.4,0.9,30.2,4.1,20.0,1.6,,,2016-06,2016
2016-06-04,4991,環宇-KY,半導體業,進榜,準備,73.1,84.0,2.0,0,,-6.7,1.0,-18.1,4.4,-15.6,1.9,,,72.5,-0.8,-5.9,0.9,-17.4,4.1,-14.9,1.6,,,2016-06,2016
2016-06-04,1210,大成,食品工業,進榜,準備,13.57,85.0,2.0,0,,12.5,1.0,6.3,4.4,18.3,1.9,,,13.6,0.2,12.3,0.9,6.1,4.1,18.1,1.6,,,2016-06,2016
2016-06-04,1323,永裕,塑膠工業,進榜,準備,21.13,86.0,3.0,0,,-2.5,1.0,1.6,4.4,7.9,1.9,,,21.2,0.3,-2.8,0.9,1.3,4.1,7.6,1.6,,,2016-06,2016
2016-06-04,6290,良維,電子零組件業,進榜,準備,21.08,83.0,3.0,0,,-2.2,1.0,-10.8,4.4,-11.9,1.9,,,21.1,0.3,-2.4,0.9,-11.1,4.1,-12.2,1.6,,,2016-06,2016
2016-06-04,5534,長虹,建材營造,進榜,準備,27.65,87.0,1.0,0,,4.0,1.0,-7.6,4.4,3.8,1.9,,,27.7,0.2,3.9,0.9,-7.7,4.1,3.6,1.6,,,2016-06,2016
2016-06-04,9911,櫻花,其他,觸發,進榜即觸發,17.45,94.0,1.0,0,17.45,7.2,1.0,32.4,4.4,17.3,1.9,,,17.2,-1.7,9.0,0.9,34.6,4.1,19.3,1.6,,,2016-06,2016
2016-06-04,1262,綠悅-KY,其他,進榜,準備,138.86,86.0,1.0,0,,-2.2,1.0,-11.3,4.4,-4.3,1.9,,,140.6,1.3,-3.4,0.9,-12.4,4.1,-5.5,1.6,,,2016-06,2016
2016-06-04,1592,英瑞-KY,汽車工業,進榜,準備,49.64,99.0,2.0,0,,-13.3,1.0,13.7,4.4,-14.9,1.9,,,51.1,3.0,-15.9,0.9,10.4,4.1,-17.3,1.6,,,2016-06,2016
2016-06-04,4916,事欣科,電腦及週邊設備業,進榜,準備,33.32,99.0,2.0,0,,0.4,1.0,-14.1,4.4,-27.0,1.9,,,35.8,7.5,-6.6,0.9,-20.1,4.1,-32.1,1.6,,,2016-06,2016
2016-06-04,3548,兆利,電子零組件業,進榜,準備,39.44,97.0,3.0,0,,-6.7,1.0,22.0,4.4,3.4,1.9,,,39.8,1.0,-7.5,0.9,20.9,4.1,2.5,1.6,,,2016-06,2016
2016-06-04,3527,聚積,半導體業,進榜,準備,44.99,96.0,1.0,0,,-0.4,1.0,3.4,4.4,1.2,1.9,,,45.6,1.4,-1.7,0.9,2.0,4.1,-0.1,1.6,,,2016-06,2016
2016-06-04,4534,慶騰,電機機械,進榜,準備,28.45,100.0,2.0,0,,10.9,1.0,3.8,4.4,-4.6,1.9,,,29.1,2.1,8.6,0.9,1.7,4.1,-6.6,1.6,,,2016-06,2016
2016-06-04,1590,亞德客-KY,電機機械,進榜,準備,182.93,92.0,2.0,0,,10.1,1.0,6.2,4.4,8.7,1.9,,,184.1,0.7,9.4,0.9,5.5,4.1,7.9,1.6,,,2016-06,2016
