掛單價,監控日,年數,為負年數,中位成交率,中位超額,中位期望值
樞紐-1.0%,10,11,9,47.4,-1.0,-0.43
樞紐-2.0%,20,11,8,50.4,-0.9,-0.48
樞紐±0%,10,11,10,51.3,-1.1,-0.57
樞紐±0%,20,11,10,56.5,-1.2,-0.6
樞紐-2.0%,5,11,8,39.0,-2.1,-0.61
樞紐+0.5%,5,11,9,50.0,-1.5,-0.66
樞紐+0.5%,10,11,9,52.7,-1.3,-0.67
樞紐+0.5%,20,11,10,58.1,-1.3,-0.68
樞紐-1.0%,5,11,9,43.9,-1.6,-0.7
樞紐±0%,5,11,9,48.2,-1.7,-0.71
樞紐+1.0%,20,11,9,59.2,-1.4,-0.71
樞紐-1.0%,20,11,9,53.4,-1.3,-0.73
樞紐+1.0%,5,11,9,52.1,-1.3,-0.75
樞紐-2.0%,10,11,9,43.9,-1.7,-0.8
樞紐+1.0%,10,11,9,55.2,-1.4,-0.83
◆T+1開盤,0,11,8,100.0,-1.0,-0.95
